cnj_number;description;priority;translation;stage
3;Decisão ou Despacho;1;O juiz decidiu algo;9
11;Decisão ou Despacho Declaração;5;O processo andou;9
25;Processo Suspenso ou Sobrestado por;5;O processo está suspenso;9
26;Distribuído por;2;Processo iniciado;1
36;Redistribuído por #{tipo_de_distribuicao_redistribuicao} em razão de #{motivo_da_redistribuicao};5;Processo mudou de juiz/vara;1
51;Conclusos #{tipo_de_conclusao};3;Processo está com o juiz para análise ou decisão;3
60;Expedição de #{tipo_de_documento}.;2;O Juiz (ou o cartório) expediu #{tipo_de_documento}.;3
92;Publicado #{ato_publicado} em #{data}.;1;Um documento foi publicado. Se for a sentença, é a decisão que estava sendo esperada!;3
106;Mandado devolvido #{resultado};2;O aviso enviado pelo juiz foi #{resultado};3
112;Ofício Devolvido #{resultado};2;O pedido de informações enviado pelo juiz foi {resultado};3
118;Protocolizada Petição;2;Uma das partes se manifestou. Procure seu advogado;9
151;Decisão ou Despacho Concessão de efeito suspensivo;4;O pedido de urgência foi dado;9
193;Julgamento;5;O processo está suspenso;9
200;Embargos de Declaração Não-acolhidos;3;O juiz recusou o pedido para explicar melhor a decisão;4
218;Julgamento Sem Resolução de Mérito;1;O processo terminou sem o juiz precisar decidir o caso.;4
219;Julgado procedente o pedido;1;O processo foi julgado e o juiz deu o pedido do autor;4
220;Julgado improcedente o pedido;1;O juiz não deu o pedido;4
221;Julgado procedente em parte do pedido;1;O juiz deu em parte o pedido;4
245;Arquivado Provisoramente;1;Processo encerrado;4
246;Arquivado Definitivamente;1;Processo encerrado;4
268;Processo Suspenso por Morte ou perda da capacidade;5;O processo está suspenso. Procure seu advogado.;9
270;Processo Suspenso por Convenção das Partes;5;O processo está suspenso;9
271;Processo Suspenso por Exceção de Incompetência, suspeição ou Impedimento;5;O processo está suspenso;9
272;Processo Suspenso por depender do julgamento de outra causa, de outro juízo ou declaração incidente;5;O processo está suspenso;9
275;Processo Suspenso ou Sobrestado por Força maior;5;O processo está suspenso;9
277;Processo Suspenso ou Sobrestado por Convenção das Partes para Cumprimento Voluntário da obrigação;5;O processo está suspenso;9
279;Processo Suspenso ou Sobrestado por Incidente de Insanidade Mental;5;O processo está suspenso;9
332;Concedida a Antecipação de tutela;2;O pedido de urgência foi dado;9
339;Concedida a Medida Liminar;3;O pedido de urgência foi dado;9
348;Revogada a Medida Liminar;3;O juiz voltou atrás quanto ao pedido de urgência.;9
378;Decisão ou Despacho Homologação;1;O acordo foi aceito pelo juiz;4
385;Julgamento com Resolução de Mérito;1;O processo foi decidido.;4
